order_item_id,order_id,customer_id,product_id,category_id,date_key,order_status,quantity,unit_price,line_amount,payment_method
2,1000,1133,6,1,20260101,da_huy,1,1100000.0,1100000.0,momo
3,1001,1131,38,3,20260101,da_huy,3,2300000.0,6900000.0,cod
4,1002,1134,11,1,20260101,dang_giao,2,230000.0,460000.0,momo
6,1003,1135,29,2,20260102,da_giao,1,890000.0,890000.0,momo
7,1004,1139,16,1,20260102,da_giao,3,210000.0,630000.0,cod
8,1005,1045,8,1,20260102,cho_xac_nhan,2,750000.0,1500000.0,momo
10,1006,1147,13,1,20260102,da_giao,1,420000.0,420000.0,momo
11,1007,1133,46,4,20260102,da_giao,3,680000.0,2040000.0,cod
13,1008,1138,9,1,20260103,da_giao,1,1680000.0,1680000.0,banking
16,1009,1129,1,1,20260103,dang_giao,4,1250000.0,5000000.0,momo
19,1010,1145,58,5,20260103,da_giao,4,320000.0,1280000.0,momo
21,1011,1149,6,1,20260103,da_giao,1,1100000.0,1100000.0,banking
22,1012,1148,61,5,20260104,dang_chuan_bi,1,780000.0,780000.0,cod
26,1013,1146,45,4,20260104,da_giao,2,480000.0,960000.0,cod
27,1014,1148,23,2,20260104,cho_xac_nhan,1,780000.0,780000.0,banking
28,1015,1129,78,6,20260104,da_giao,2,950000.0,1900000.0,cod
29,1016,1142,16,1,20260104,dang_chuan_bi,3,210000.0,630000.0,cod
31,1017,1145,48,4,20260104,da_giao,4,920000.0,3680000.0,banking
34,1018,1144,14,1,20260105,dang_chuan_bi,3,180000.0,540000.0,cod
36,1019,1096,19,2,20260105,da_giao,3,1350000.0,4050000.0,cod
37,1020,1134,38,3,20260105,da_giao,1,2300000.0,2300000.0,cod
38,1021,1146,1,1,20260105,da_giao,4,1250000.0,5000000.0,cod
40,1022,1145,15,1,20260105,dang_giao,4,320000.0,1280000.0,cod
44,1023,1145,45,4,20260105,dang_giao,4,480000.0,1920000.0,cod
46,1024,1142,20,2,20260105,cho_xac_nhan,3,890000.0,2670000.0,banking
51,1025,1134,44,4,20260105,dang_giao,1,520000.0,520000.0,cod
54,1026,1146,13,1,20260105,da_giao,2,420000.0,840000.0,momo
56,1027,1139,55,5,20260105,da_giao,2,620000.0,1240000.0,cod
61,1028,1148,3,1,20260105,da_giao,2,1890000.0,3780000.0,cod
62,1029,1134,12,1,20260106,dang_giao,3,340000.0,1020000.0,cod
64,1030,1130,12,1,20260106,da_giao,3,340000.0,1020000.0,cod
69,1031,1138,14,1,20260106,da_giao,2,180000.0,360000.0,banking
70,1032,1129,30,2,20260106,da_giao,2,780000.0,1560000.0,cod
72,1033,1129,26,2,20260106,dang_chuan_bi,2,850000.0,1700000.0,cod
75,1034,1136,31,3,20260106,cho_xac_nhan,3,4200000.0,12600000.0,cod
76,1035,1141,54,4,20260106,da_giao,2,620000.0,1240000.0,cod
77,1036,1129,33,3,20260106,da_huy,2,2450000.0,4900000.0,cod
78,1037,1140,47,4,20260106,dang_giao,4,320000.0,1280000.0,cod
79,1038,1033,4,1,20260107,da_giao,1,385000.0,385000.0,cod
82,1039,1146,23,2,20260107,da_giao,4,780000.0,3120000.0,cod
83,1040,1140,66,5,20260107,da_giao,2,190000.0,380000.0,cod
84,1041,1133,40,3,20260107,cho_xac_nhan,2,2500000.0,5000000.0,banking
88,1042,1128,29,2,20260108,dang_giao,1,890000.0,890000.0,cod
92,1043,1146,5,1,20260108,dang_giao,1,480000.0,480000.0,banking
93,1044,1147,1,1,20260108,da_giao,4,1250000.0,5000000.0,cod
94,1045,1142,9,1,20260108,da_giao,3,1680000.0,5040000.0,banking
96,1046,1105,25,2,20260109,da_giao,2,1100000.0,2200000.0,momo
101,1047,1134,11,1,20260109,da_giao,4,230000.0,920000.0,cod
102,1048,1144,42,3,20260109,dang_giao,1,2600000.0,2600000.0,cod
104,1049,1018,18,1,20260109,dang_chuan_bi,4,350000.0,1400000.0,cod
108,1050,1142,45,4,20260109,da_giao,1,480000.0,480000.0,banking
111,1051,1026,54,4,20260109,da_giao,4,620000.0,2480000.0,banking
113,1052,1137,62,5,20260109,dang_chuan_bi,2,450000.0,900000.0,banking
115,1053,1143,15,1,20260109,da_giao,4,320000.0,1280000.0,cod
116,1054,1000,66,5,20260110,da_giao,1,190000.0,190000.0,cod
118,1055,1143,60,5,20260110,da_giao,4,520000.0,2080000.0,cod
120,1056,1128,46,4,20260110,da_giao,1,680000.0,680000.0,momo
122,1057,1149,34,3,20260110,da_giao,2,2800000.0,5600000.0,momo
124,1058,1129,22,2,20260110,da_giao,4,620000.0,2480000.0,banking
129,1059,1029,4,1,20260110,cho_xac_nhan,1,385000.0,385000.0,cod
131,1060,1100,14,1,20260111,dang_chuan_bi,3,180000.0,540000.0,banking
133,1061,1148,35,3,20260111,da_giao,1,2800000.0,2800000.0,cod
135,1062,1145,4,1,20260111,da_giao,3,385000.0,1155000.0,cod
136,1063,1132,17,1,20260112,da_giao,3,680000.0,2040000.0,cod
137,1064,1147,49,4,20260112,da_giao,4,180000.0,720000.0,banking
139,1065,1138,26,2,20260112,da_giao,1,850000.0,850000.0,banking
141,1066,1147,16,1,20260112,da_giao,1,210000.0,210000.0,cod
143,1067,1142,72,6,20260112,da_giao,3,650000.0,1950000.0,banking
145,1068,1143,3,1,20260112,da_giao,4,1890000.0,7560000.0,cod
146,1069,1133,54,4,20260112,da_giao,3,620000.0,1860000.0,momo
148,1070,1143,21,2,20260112,dang_chuan_bi,3,780000.0,2340000.0,banking
151,1071,1043,12,1,20260113,dang_giao,4,340000.0,1360000.0,momo
153,1072,1140,2,1,20260113,da_giao,2,2890000.0,5780000.0,cod
154,1073,1093,25,2,20260113,da_giao,2,1100000.0,2200000.0,cod
155,1074,1141,5,1,20260113,da_giao,1,480000.0,480000.0,cod
