product_id,category_id,stock_quantity,price,stock_value,stock_status
1,1,139,1250000.0,173750000.0,binh_thuong
2,1,166,2890000.0,479740000.0,binh_thuong
3,1,285,1890000.0,538650000.0,ton_cao
4,1,34,385000.0,13090000.0,binh_thuong
5,1,345,480000.0,165600000.0,ton_cao
6,1,4,1100000.0,4400000.0,sap_het_hang
7,1,133,890000.0,118370000.0,binh_thuong
8,1,0,750000.0,0.0,het_hang
9,1,117,1680000.0,196560000.0,binh_thuong
10,1,65,1450000.0,94250000.0,binh_thuong
11,1,89,230000.0,20470000.0,binh_thuong
12,1,178,340000.0,60520000.0,binh_thuong
13,1,97,420000.0,40740000.0,binh_thuong
14,1,130,180000.0,23400000.0,binh_thuong
15,1,215,320000.0,68800000.0,ton_cao
16,1,72,210000.0,15120000.0,binh_thuong
17,1,0,680000.0,0.0,het_hang
18,1,74,350000.0,25900000.0,binh_thuong
19,2,203,1350000.0,274050000.0,ton_cao
20,2,95,890000.0,84550000.0,binh_thuong
21,2,30,780000.0,23400000.0,binh_thuong
22,2,0,620000.0,0.0,het_hang
23,2,147,780000.0,114660000.0,binh_thuong
24,2,37,950000.0,35150000.0,binh_thuong
25,2,20,1100000.0,22000000.0,binh_thuong
26,2,149,850000.0,126650000.0,binh_thuong
27,2,247,620000.0,153140000.0,ton_cao
28,2,163,720000.0,117360000.0,binh_thuong
29,2,177,890000.0,157530000.0,binh_thuong
30,2,32,780000.0,24960000.0,binh_thuong
31,3,54,4200000.0,226800000.0,binh_thuong
32,3,156,3200000.0,499200000.0,binh_thuong
33,3,74,2450000.0,181300000.0,binh_thuong
34,3,9,2800000.0,25200000.0,sap_het_hang
35,3,113,2800000.0,316400000.0,binh_thuong
36,3,1,2100000.0,2100000.0,sap_het_hang
37,3,30,3100000.0,93000000.0,binh_thuong
38,3,170,2300000.0,391000000.0,binh_thuong
39,3,151,2900000.0,437900000.0,binh_thuong
40,3,53,2500000.0,132500000.0,binh_thuong
41,3,6,3400000.0,20400000.0,sap_het_hang
42,3,26,2600000.0,67600000.0,binh_thuong
43,4,0,290000.0,0.0,het_hang
44,4,36,520000.0,18720000.0,binh_thuong
45,4,73,480000.0,35040000.0,binh_thuong
46,4,178,680000.0,121040000.0,binh_thuong
47,4,358,320000.0,114560000.0,ton_cao
48,4,120,920000.0,110400000.0,binh_thuong
49,4,9,180000.0,1620000.0,sap_het_hang
50,4,167,780000.0,130260000.0,binh_thuong
51,4,78,650000.0,50700000.0,binh_thuong
52,4,114,580000.0,66120000.0,binh_thuong
53,4,165,220000.0,36300000.0,binh_thuong
54,4,223,620000.0,138260000.0,ton_cao
55,5,215,620000.0,133300000.0,ton_cao
56,5,102,580000.0,59160000.0,binh_thuong
57,5,44,320000.0,14080000.0,binh_thuong
58,5,260,320000.0,83200000.0,ton_cao
59,5,10,890000.0,8900000.0,sap_het_hang
60,5,142,520000.0,73840000.0,binh_thuong
61,5,124,780000.0,96720000.0,binh_thuong
62,5,72,450000.0,32400000.0,binh_thuong
63,5,118,750000.0,88500000.0,binh_thuong
64,5,9,850000.0,7650000.0,sap_het_hang
65,5,134,280000.0,37520000.0,binh_thuong
66,5,160,190000.0,30400000.0,binh_thuong
67,6,108,420000.0,45360000.0,binh_thuong
68,6,131,520000.0,68120000.0,binh_thuong
69,6,56,320000.0,17920000.0,binh_thuong
70,6,110,180000.0,19800000.0,binh_thuong
71,6,150,185000.0,27750000.0,binh_thuong
72,6,175,650000.0,113750000.0,binh_thuong
73,6,0,890000.0,0.0,het_hang
74,6,10,480000.0,4800000.0,sap_het_hang
75,6,133,280000.0,37240000.0,binh_thuong
76,6,74,280000.0,20720000.0,binh_thuong
77,6,140,520000.0,72800000.0,binh_thuong
78,6,301,950000.0,285950000.0,ton_cao
