order_id,customer_id,date_key,order_status,subtotal,shipping_fee,discount_amount,order_total,payment_method
1000,1133,20260101,da_huy,1440000.0,0.0,0.0,1440000.0,momo
1001,1131,20260101,da_huy,6900000.0,0.0,0.0,6900000.0,cod
1002,1134,20260101,dang_giao,460000.0,30000.0,46000.0,444000.0,momo
1003,1135,20260102,da_giao,2390000.0,0.0,0.0,2390000.0,momo
1004,1139,20260102,da_giao,630000.0,0.0,63000.0,567000.0,cod
1005,1045,20260102,cho_xac_nhan,1500000.0,0.0,0.0,1500000.0,momo
1006,1147,20260102,da_giao,1540000.0,0.0,50000.0,1490000.0,momo
1007,1133,20260102,da_giao,2040000.0,0.0,0.0,2040000.0,cod
1008,1138,20260103,da_giao,12880000.0,0.0,0.0,12880000.0,banking
1009,1129,20260103,dang_giao,13010000.0,0.0,0.0,13010000.0,momo
1010,1145,20260103,da_giao,5240000.0,0.0,0.0,5240000.0,momo
1011,1149,20260103,da_giao,2660000.0,0.0,266000.0,2394000.0,banking
1012,1148,20260104,dang_chuan_bi,780000.0,0.0,0.0,780000.0,cod
1013,1146,20260104,da_giao,9140000.0,0.0,0.0,9140000.0,cod
1014,1148,20260104,cho_xac_nhan,780000.0,0.0,78000.0,702000.0,banking
1015,1129,20260104,da_giao,1900000.0,0.0,0.0,1900000.0,cod
1016,1142,20260104,dang_chuan_bi,630000.0,0.0,0.0,630000.0,cod
1017,1145,20260104,da_giao,4250000.0,0.0,0.0,4250000.0,banking
1018,1144,20260105,dang_chuan_bi,2230000.0,0.0,0.0,2230000.0,cod
1019,1096,20260105,da_giao,4770000.0,0.0,0.0,4770000.0,cod
1020,1134,20260105,da_giao,2300000.0,0.0,0.0,2300000.0,cod
1021,1146,20260105,da_giao,5000000.0,0.0,0.0,5000000.0,cod
1022,1145,20260105,dang_giao,2840000.0,0.0,284000.0,2556000.0,cod
1023,1145,20260105,dang_giao,15860000.0,0.0,0.0,15860000.0,cod
1024,1142,20260105,cho_xac_nhan,8870000.0,0.0,887000.0,7983000.0,banking
1025,1134,20260105,dang_giao,8880000.0,0.0,0.0,8880000.0,cod
1026,1146,20260105,da_giao,4280000.0,0.0,50000.0,4230000.0,momo
1027,1139,20260105,da_giao,8140000.0,0.0,0.0,8140000.0,cod
1028,1148,20260105,da_giao,7825000.0,0.0,50000.0,7775000.0,cod
1029,1134,20260106,dang_giao,1020000.0,0.0,0.0,1020000.0,cod
1030,1130,20260106,da_giao,9420000.0,0.0,50000.0,9370000.0,cod
1031,1138,20260106,da_giao,10360000.0,0.0,1036000.0,9324000.0,banking
1032,1129,20260106,da_giao,1560000.0,0.0,50000.0,1510000.0,cod
1033,1129,20260106,dang_chuan_bi,2470000.0,0.0,247000.0,2223000.0,cod
1034,1136,20260106,cho_xac_nhan,13240000.0,0.0,0.0,13240000.0,cod
1035,1141,20260106,da_giao,1240000.0,0.0,0.0,1240000.0,cod
1036,1129,20260106,da_huy,4900000.0,0.0,0.0,4900000.0,cod
1037,1140,20260106,dang_giao,1280000.0,0.0,0.0,1280000.0,cod
1038,1033,20260107,da_giao,385000.0,30000.0,0.0,415000.0,cod
1039,1146,20260107,da_giao,5240000.0,0.0,524000.0,4716000.0,cod
1040,1140,20260107,da_giao,380000.0,30000.0,0.0,410000.0,cod
1041,1133,20260107,cho_xac_nhan,5000000.0,0.0,0.0,5000000.0,banking
1042,1128,20260108,dang_giao,13610000.0,0.0,1361000.0,12249000.0,cod
1043,1146,20260108,dang_giao,11420000.0,0.0,0.0,11420000.0,banking
1044,1147,20260108,da_giao,5000000.0,0.0,0.0,5000000.0,cod
1045,1142,20260108,da_giao,5040000.0,0.0,0.0,5040000.0,banking
1046,1105,20260109,da_giao,3700000.0,0.0,0.0,3700000.0,momo
1047,1134,20260109,da_giao,20280000.0,0.0,0.0,20280000.0,cod
1048,1144,20260109,dang_giao,2600000.0,0.0,260000.0,2340000.0,cod
1049,1018,20260109,dang_chuan_bi,1860000.0,0.0,0.0,1860000.0,cod
1050,1142,20260109,da_giao,15420000.0,0.0,0.0,15420000.0,banking
1051,1026,20260109,da_giao,5080000.0,0.0,0.0,5080000.0,banking
1052,1137,20260109,dang_chuan_bi,4260000.0,0.0,0.0,4260000.0,banking
1053,1143,20260109,da_giao,3140000.0,0.0,0.0,3140000.0,cod
1054,1000,20260110,da_giao,190000.0,30000.0,0.0,220000.0,cod
1055,1143,20260110,da_giao,2860000.0,0.0,286000.0,2574000.0,cod
1056,1128,20260110,da_giao,6480000.0,0.0,0.0,6480000.0,momo
1057,1149,20260110,da_giao,6290000.0,0.0,0.0,6290000.0,momo
1058,1129,20260110,da_giao,3640000.0,0.0,0.0,3640000.0,banking
1059,1029,20260110,cho_xac_nhan,9815000.0,0.0,0.0,9815000.0,cod
1060,1100,20260111,dang_chuan_bi,3840000.0,0.0,0.0,3840000.0,banking
1061,1148,20260111,da_giao,6360000.0,0.0,0.0,6360000.0,cod
1062,1145,20260111,da_giao,3235000.0,0.0,50000.0,3185000.0,cod
1063,1132,20260112,da_giao,2040000.0,0.0,0.0,2040000.0,cod
1064,1147,20260112,da_giao,720000.0,0.0,0.0,720000.0,banking
1065,1138,20260112,da_giao,3010000.0,0.0,0.0,3010000.0,banking
1066,1147,20260112,da_giao,530000.0,0.0,0.0,530000.0,cod
1067,1142,20260112,da_giao,2700000.0,0.0,0.0,2700000.0,banking
1068,1143,20260112,da_giao,8400000.0,0.0,0.0,8400000.0,cod
1069,1133,20260112,da_giao,1860000.0,0.0,0.0,1860000.0,momo
1070,1143,20260112,dang_chuan_bi,3580000.0,0.0,0.0,3580000.0,banking
1071,1043,20260113,dang_giao,3420000.0,0.0,342000.0,3078000.0,momo
1072,1140,20260113,da_giao,6460000.0,0.0,646000.0,5814000.0,cod
1073,1093,20260113,da_giao,2200000.0,0.0,50000.0,2150000.0,cod
1074,1141,20260113,da_giao,480000.0,30000.0,0.0,510000.0,cod
1075,1129,20260113,cho_xac_nhan,1900000.0,0.0,0.0,1900000.0,banking
1076,1082,20260114,da_giao,760000.0,0.0,50000.0,710000.0,banking
1077,1147,20260114,dang_giao,850000.0,0.0,0.0,850000.0,banking
1078,1135,20260114,da_giao,4360000.0,0.0,436000.0,3924000.0,momo
1079,1137,20260114,da_giao,7580000.0,0.0,0.0,7580000.0,cod
1080,1133,20260114,da_giao,4030000.0,0.0,0.0,4030000.0,cod
1081,1147,20260114,cho_xac_nhan,12400000.0,0.0,0.0,12400000.0,banking
1082,1138,20260114,da_giao,25580000.0,0.0,50000.0,25530000.0,cod
1083,1129,20260115,da_giao,7180000.0,0.0,0.0,7180000.0,momo
1084,1149,20260115,cho_xac_nhan,1870000.0,0.0,0.0,1870000.0,cod
1085,1140,20260115,da_giao,15420000.0,0.0,0.0,15420000.0,cod
1086,1140,20260115,da_giao,17560000.0,0.0,0.0,17560000.0,cod
1087,1133,20260115,da_huy,870000.0,0.0,0.0,870000.0,cod
1088,1148,20260115,da_giao,1450000.0,0.0,50000.0,1400000.0,banking
1089,1128,20260116,da_giao,6320000.0,0.0,0.0,6320000.0,cod
1090,1129,20260116,da_giao,7160000.0,0.0,50000.0,7110000.0,cod
1091,1147,20260116,cho_xac_nhan,1155000.0,0.0,0.0,1155000.0,cod
1092,1035,20260116,cho_xac_nhan,10900000.0,0.0,0.0,10900000.0,banking
1093,1135,20260116,da_huy,960000.0,0.0,50000.0,910000.0,cod
1094,1135,20260116,dang_chuan_bi,17510000.0,0.0,0.0,17510000.0,banking
1095,1132,20260116,cho_xac_nhan,3650000.0,0.0,50000.0,3600000.0,cod
1096,1130,20260116,da_giao,11620000.0,0.0,1162000.0,10458000.0,cod
1097,1133,20260117,da_giao,960000.0,0.0,0.0,960000.0,banking
1098,1006,20260117,da_giao,4550000.0,0.0,50000.0,4500000.0,momo
1099,1131,20260117,da_giao,1880000.0,0.0,0.0,1880000.0,momo
1100,1148,20260117,da_giao,13920000.0,0.0,1392000.0,12528000.0,cod
1101,1128,20260117,da_giao,2340000.0,0.0,234000.0,2106000.0,banking
1102,1130,20260117,da_giao,2340000.0,0.0,0.0,2340000.0,cod
1103,1143,20260117,dang_chuan_bi,900000.0,0.0,50000.0,850000.0,cod
1104,1140,20260117,da_giao,14850000.0,0.0,0.0,14850000.0,cod
1105,1148,20260117,da_giao,13880000.0,0.0,0.0,13880000.0,cod
1106,1130,20260118,da_giao,6100000.0,0.0,0.0,6100000.0,cod
1107,1135,20260118,dang_giao,2250000.0,0.0,0.0,2250000.0,cod
1108,1141,20260118,dang_chuan_bi,7695000.0,0.0,769500.0,6925500.0,cod
1109,1139,20260118,da_giao,10090000.0,0.0,0.0,10090000.0,cod
1110,1139,20260119,dang_giao,840000.0,0.0,0.0,840000.0,momo
1111,1133,20260119,da_huy,5040000.0,0.0,0.0,5040000.0,cod
1112,1135,20260119,dang_chuan_bi,3550000.0,0.0,355000.0,3195000.0,banking
1113,1046,20260119,da_giao,2160000.0,0.0,0.0,2160000.0,cod
1114,1130,20260119,da_giao,18930000.0,0.0,0.0,18930000.0,cod
1115,1143,20260119,da_giao,2550000.0,0.0,0.0,2550000.0,banking
1116,1131,20260119,da_giao,7560000.0,0.0,0.0,7560000.0,cod
1117,1133,20260119,da_giao,11610000.0,0.0,1161000.0,10449000.0,cod
1118,1138,20260120,da_giao,16160000.0,0.0,0.0,16160000.0,banking
