payment_id,order_id,date_key,payment_amount,payment_method,payment_status,reconciliation_status,payment_time
1000,1000,20260101,1440000.0,momo,hoan_tien,KHOP,2026-01-01 12:58:39
1001,1001,20260101,6900000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-01 22:08:10
1002,1002,20260101,444000.0,momo,da_thanh_toan,KHOP,2026-01-01 22:29:07
1003,1003,20260102,2390000.0,momo,da_thanh_toan,KHOP,2026-01-02 00:26:34
1004,1004,20260102,567000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-02 05:12:15
1005,1005,20260102,1500000.0,momo,da_thanh_toan,CHO_XU_LY,2026-01-02 05:12:04
1006,1006,20260102,1490000.0,momo,da_thanh_toan,KHOP,2026-01-02 16:39:10
1007,1007,20260102,2040000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-02 23:19:26
1008,1008,20260103,12880000.0,banking,da_thanh_toan,CHO_XU_LY,2026-01-03 03:45:57
1009,1009,20260103,13010000.0,momo,da_thanh_toan,CHO_XU_LY,2026-01-03 07:20:33
1010,1010,20260103,5240000.0,momo,da_thanh_toan,KHOP,2026-01-03 11:00:07
1011,1011,20260103,2394000.0,banking,hoan_tien,KHOP,2026-01-03 23:29:56
1012,1012,20260104,780000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-04 02:48:29
1013,1013,20260104,9140000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-04 09:10:38
1014,1014,20260104,702000.0,banking,da_thanh_toan,SAI_LECH,2026-01-04 11:51:43
1015,1015,20260104,1900000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-04 12:51:40
1016,1016,20260104,630000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-04 17:29:42
1017,1017,20260104,4250000.0,banking,da_thanh_toan,KHOP,2026-01-04 22:12:16
1018,1018,20260105,2230000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-05 07:17:59
1019,1019,20260105,4770000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-05 07:58:46
1020,1020,20260105,2300000.0,cod,hoan_tien,CHO_XU_LY,2026-01-05 09:54:30
1021,1021,20260105,5000000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-05 08:54:56
1022,1022,20260105,2556000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-05 10:09:40
1023,1023,20260105,15860000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-05 18:04:25
1024,1024,20260105,7983000.0,banking,da_thanh_toan,KHOP,2026-01-05 18:48:03
1025,1025,20260105,8880000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-05 22:22:50
1026,1026,20260105,4230000.0,momo,da_thanh_toan,KHOP,2026-01-05 22:42:01
1027,1027,20260105,8140000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-05 22:27:48
1028,1028,20260106,7775000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-06 00:01:33
1029,1029,20260106,1020000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-06 01:38:27
1030,1030,20260106,9370000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-06 04:26:13
1031,1031,20260106,9324000.0,banking,da_thanh_toan,KHOP,2026-01-06 12:31:38
1032,1032,20260106,1510000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-06 14:23:53
1033,1033,20260106,2223000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-06 16:36:03
1034,1034,20260106,13240000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-06 20:45:45
1035,1035,20260106,1240000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-06 20:37:23
1036,1036,20260107,4900000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-07 00:09:47
1037,1037,20260106,1280000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-06 23:53:27
1038,1038,20260107,415000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-07 02:06:42
1039,1039,20260107,4716000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-07 07:32:22
1040,1040,20260107,410000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-07 17:27:04
1041,1041,20260107,5000000.0,banking,chua_thanh_toan,KHOP,2026-01-07 19:47:23
1042,1042,20260108,12249000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-08 04:24:33
1043,1043,20260108,11420000.0,banking,da_thanh_toan,KHOP,2026-01-08 13:59:03
1044,1044,20260108,5000000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-08 16:58:33
1045,1045,20260108,5040000.0,banking,da_thanh_toan,KHOP,2026-01-08 19:48:04
1046,1046,20260109,3700000.0,momo,da_thanh_toan,KHOP,2026-01-09 04:24:07
1047,1047,20260109,20280000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-09 06:48:08
1048,1048,20260109,2340000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-09 07:10:28
1049,1049,20260109,1860000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-09 06:37:06
1050,1050,20260109,15420000.0,banking,da_thanh_toan,CHO_XU_LY,2026-01-09 14:19:53
1051,1051,20260109,5080000.0,banking,da_thanh_toan,SAI_LECH,2026-01-09 17:44:22
1052,1052,20260109,4260000.0,banking,da_thanh_toan,CHO_XU_LY,2026-01-09 18:37:02
1053,1053,20260109,3140000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-09 21:25:18
1054,1054,20260110,220000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-10 00:39:00
1055,1055,20260110,2574000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-10 03:41:47
1056,1056,20260110,6480000.0,momo,da_thanh_toan,KHOP,2026-01-10 10:59:07
1057,1057,20260110,6290000.0,momo,da_thanh_toan,KHOP,2026-01-10 16:36:35
1058,1058,20260110,3640000.0,banking,da_thanh_toan,KHOP,2026-01-10 18:38:17
1059,1059,20260110,9815000.0,cod,chua_thanh_toan,CHO_XU_LY,2026-01-10 19:57:05
1060,1060,20260111,3840000.0,banking,chua_thanh_toan,KHOP,2026-01-11 01:53:09
1061,1061,20260111,6360000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-11 02:22:11
1062,1062,20260111,3185000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-11 15:36:15
1063,1063,20260112,2040000.0,cod,da_thanh_toan,CHO_XU_LY,2026-01-12 01:24:52
1064,1064,20260112,720000.0,banking,da_thanh_toan,KHOP,2026-01-12 03:28:02
1065,1065,20260112,3010000.0,banking,da_thanh_toan,KHOP,2026-01-12 12:09:03
